username, created_at, lng, lat, text
NotaryEM, Wed Apr 22 14:37:03 +0000 2020, -122.218075, 47.392311, @BarbIllinois10 @HKrassenstein I want Kamala for Attorney General 
ImNotABarbiie, Wed Apr 22 14:37:03 +0000 2020, -77.493170, 37.529883, My blessings have been so abundant . Thank you God . 
illaduff, Wed Apr 22 14:37:03 +0000 2020, -75.117998, 40.004866, @mjwags23 Analytics robots are ruining sports. I will die on this hill 
Chief_Alirez, Wed Apr 22 14:37:03 +0000 2020, -108.133303, 32.760816, @thehicklife Oh My 
hashtagmarisa, Wed Apr 22 14:37:04 +0000 2020, -117.104989, 32.810012, #SunriseGratitude 
heartkneemolina, Wed Apr 22 14:37:04 +0000 2020, -73.831187, 40.670879, @JEneRICjames Sana yung pic mo ang bg mas happy ako wahahaha 
lovealissaellen, Wed Apr 22 14:37:04 +0000 2020, -74.188035, 40.001340, **she wants to reopen it cause she needs to get new insurance but can only do it if she files with my dad. She refi… https://t.co/mg4717XB9z 
kaiposted, Wed Apr 22 14:37:04 +0000 2020, -98.520057, 33.926420, me losing respect for you is worse than me being mad 
RobKazArt, Wed Apr 22 14:37:04 +0000 2020, -81.549320, 28.304521, https://t.co/m2wplWBbax 
TPirofalo, Wed Apr 22 14:37:04 +0000 2020, -88.526811, 41.664940, @unitedwithworld #waitt7lfe https://t.co/0iaRq2lkVJ 
WilliamTweet_, Wed Apr 22 14:37:04 +0000 2020, -73.849441, 40.850347, #NFLNetwork https://t.co/0fT0DMp3aG 
SpazzySpitz, Wed Apr 22 14:37:04 +0000 2020, -97.754724, 30.323346, This was the world's most notable problem 3 years ago 
Principal_IT, Wed Apr 22 14:37:04 +0000 2020, -80.280915, 25.977346, #Space #Nasa #Science The first, chilling images of Earth https://t.co/jQMqutmcB2 https://t.co/wete82niR0 
HexvenSent, Wed Apr 22 14:37:04 +0000 2020, -79.861034, 35.170499, the video for this song has me actually crying, the ghost inside are amazing and i’m so so proud of them 🤍 
everylotnyc, Wed Apr 22 14:37:04 +0000 2020, -73.857340, 40.897050, 4336 Matilda Avenue, the Bronx https://t.co/wHXF3baICm 
CoachMilloy55, Wed Apr 22 14:37:04 +0000 2020, -79.420865, 38.003376, @drjaimemiller thought the #1 Harry Potter fan!                                                        https://t.co/YoXG4xqcX3 
StephhStacks, Wed Apr 22 14:37:04 +0000 2020, -75.386460, 39.145024, 2 and 4 
biqsleazz, Wed Apr 22 14:37:04 +0000 2020, -79.420865, 38.003376, @i_am_tahj chubbs upset ain’t it lls 
TonyPar36282257, Wed Apr 22 14:37:04 +0000 2020, -122.671496, 45.523791, https://t.co/T7wrizREhM #unhoused #civilrightsactivist#housing 
richardharris69, Wed Apr 22 14:37:04 +0000 2020, -115.128846, 36.136412, @vaozman Yeah whatever floats your boat. 
sr_berenjena, Wed Apr 22 14:37:04 +0000 2020, -73.948775, 40.655138, @estevezmiguel83 Ya comenzaron? 
CoachColombi, Wed Apr 22 14:37:04 +0000 2020, -80.144175, 26.633710, @GridironStuds Clueless.. 90% of fans think every down the corner is playing some form of man concept. 🤦🏽‍♂️ 
FrenchPorter, Wed Apr 22 14:37:04 +0000 2020, -73.948775, 40.655138, I fuck with you Thugger but you not fuckin with my dawg MontanA 
beingexemplaryX, Wed Apr 22 14:37:05 +0000 2020, -77.604684, 41.117936, Had a dream about buying 20x20 tiles from an ex last night. I mean, she did work at Lowe's, so I guess it sort of makes sense 
courtneyaguile2, Wed Apr 22 14:37:05 +0000 2020, -95.446486, 29.838495, People need to grow up if they don’t like spicy food 
LaDonnaJames12, Wed Apr 22 14:37:05 +0000 2020, -82.669467, 40.365160, @realDonaldTrump @CNN We know you lie to us. We know you make others lie to us. There was no misquote.Where are the tests? We want tests. 
SAGCSUPREME, Wed Apr 22 14:37:05 +0000 2020, -79.857363, 36.090397, @PeaceSincere1 Appreciate that Preme 💯💪🏾 
Distineee_, Wed Apr 22 14:37:05 +0000 2020, -90.011008, 29.982601, emotions got the best of me. 
MidwestEsports1, Wed Apr 22 14:37:05 +0000 2020, -97.343915, 37.683897, @WillofGame Nice! We can’t wait to hear what you think about it! 
TomLeiss, Wed Apr 22 14:37:05 +0000 2020, -79.420865, 38.003376, 5th DIVISION - WEEK 6 (1of6):---------------------------------Find more details on my U.S. Pro Soccer Supporters… https://t.co/iQsrN2FaUs 
villone_reports, Wed Apr 22 14:37:05 +0000 2020, -76.840479, 38.908626, #researchers find that #covid19 not only inflames &amp; clogs the lungs, but it may also cause #heart #inflammation, ac… https://t.co/OMF1ojstvt 
JohnSpielmann, Wed Apr 22 14:37:05 +0000 2020, -112.360219, 33.672775, @SethAbramson I hope my brother and sister in law in SC and cousin in NC continue to practice social distancing for… https://t.co/hdmRjzX3lq 
MachoManiaco, Wed Apr 22 14:37:05 +0000 2020, -98.540651, 29.417501, @glennkirschner2 Whereas Barack Hussein O-bomb-ya helped start 3 more wars and ordered 7 countries bombed AFTER rec… https://t.co/AeREx4jSOr 
